image_id,ceramic_type,units,where_made,manufacturer_artist,date_earliest,date_latest,saz_count,carnation_count,tulip_count,use_for_motif_classification,use_for_segmentation,segmented,where_held,museum_no,source,page,imagedim1,imagedim2,imagesize,comments
iVA40,,,England_Belper,Derby Tile Company,1800,1900,,,,0,0,0,VA_London,no_101:16-1900,web,http://collections.vam.ac.uk/item/O283234/tile-derby-tile-company/,NA,NA,NA,
iVA48,,,England_Belper,Derby Tile Company,1800,1900,,,,0,0,0,VA_London,no_101:15-1900,web,http://collections.vam.ac.uk/item/O283244/tile-derby-tile-company/,NA,NA,NA,
iVA49,,,England_Belper,Derby Tile Company,1800,1900,,,,0,0,0,VA_London,no_101:10-1900,web,http://collections.vam.ac.uk/item/O283240/tile-derby-tile-company/,NA,NA,NA,
iVA50,,,England_Belper,Derby Tile Company,1800,1900,,,,0,0,0,VA_London,no_101:12-1900,web,http://collections.vam.ac.uk/item/O283236/tile-derby-tile-company/,NA,NA,NA,
iDMF11,,,England_London,William de Morgan,1872,1904,,,,0,0,0,De Morgan_London,no_DMF_C_WDM_T0569,web,http://www.demorgan.org.uk/double-carnation-tile-0,NA,NA,NA,
iDMF13,,,England_London,William de Morgan,1872,1904,,,,0,0,0,De Morgan_London,"no_DMF_C_WDM_T0296, T0291, T0404 &T0405",web,http://www.demorgan.org.uk/iznik-leaf-and-flowers-tiles,NA,NA,NA,
iDMF14,,,England_London,William de Morgan,1872,1904,,,,0,0,0,De Morgan_London,no_C_WDM_0241,web,http://www.demorgan.org.uk/iznik-floral-tile-panel,NA,NA,NA,
iDMF15,,,England_London,William de Morgan,1872,1904,,,,0,0,0,De Morgan_London,no_C_WDM_0268,web,http://www.demorgan.org.uk/iznik-floral-tile-panel,NA,NA,NA,
iDMF16,,,England_London,William de Morgan,1872,1904,,,,0,0,0,De Morgan_London,no_C_WDM_0255,web,http://www.demorgan.org.uk/fan-tile-panel,NA,NA,NA,
iDMF17,,,England_London,William de Morgan,1872,1904,,,,0,0,0,De Morgan_London,no_C_WDM_0214,web,http://www.demorgan.org.uk/trefoil-leaf-tile-panel,NA,NA,NA,
iDMF18,,,England_London,William de Morgan,1872,1904,,,,0,0,0,De Morgan_London,no_C_WDM_0130,web,http://www.demorgan.org.uk/carnation-and-saz-leaf-vase,NA,NA,NA,
iDMF19,,,England_London,William de Morgan,1872,1904,,,,0,0,0,De Morgan_London,no_C_WDM_0233,web,http://www.demorgan.org.uk/prunus-leaf-tile-panel-0,NA,NA,NA,
iDMF20,,,England_London,William de Morgan,1872,1904,,,,0,0,0,De Morgan_London,no_C_WDM_T0016,web,http://www.demorgan.org.uk/flamingo-and-carnation-repeat-b,NA,NA,NA,
iDMF21,,,England_London,William de Morgan,1872,1904,,,,0,0,0,De Morgan_London,no_C_WDM_T0366,web,http://www.demorgan.org.uk/india-tile,NA,NA,NA,
iDMF3,tile,,England_London,William de Morgan,1872,1904,0,2,0,0,0,0,De Morgan_London,no_C_WDM_T0538,web,http://www.demorgan.org.uk/gillow-floral-tile,NA,NA,NA,
iDMF5,,,England_London,William de Morgan,1872,1904,,,,0,0,0,De Morgan_London,no_C_WDM_T0366,web,http://www.demorgan.org.uk/india-tile,NA,NA,NA,
iDMF6,,,England_London,Merton Abbey,1872,1904,,,,0,0,0,De Morgan_London,no_C_WDM_0085,web,http://www.demorgan.org.uk/two-handled-vase-persian-floral-decoration,NA,NA,NA,
iDMF7,,,England_London,NA,1872,1907,,,,0,0,0,De Morgan_London,no_C_WDM_0063,web,http://www.demorgan.org.uk/fish-punch-bowl,NA,NA,NA,
iDMF8,,,England_London,William de Morgan,1872,1904,,,,0,0,0,De Morgan_London,no_C_WDM_0052,web,http://www.demorgan.org.uk/bear-and-rabbit-bowl,NA,NA,NA,
iDMF9,,,England_London,William de Morgan,1872,1904,,,,0,0,0,De Morgan_London,no_C_WDM_0035,web,http://www.demorgan.org.uk/carnation-punch-bowl,NA,NA,NA,
iVA20,,,England_London,William de Morgan,1839,1917,,,,0,0,0,VA_London,no_C.142-1917,web,http://collections.vam.ac.uk/item/O161549/tile-william-de-morgan/,NA,NA,NA,
iAN1,plate,,France_Paris,Theodore Deck,1823,1891,9,2,0,0,0,0,Artnet,NA,web,http://www.artnet.com/artists/th%C3%A9odore-deck/assiette-carr%C3%A9e-%C3%A0-bords-arrondis-KdPHwF8ieENO5skjfXIiSA2,NA,NA,NA,
iAN10,plate,,France_Paris,Theodore Deck,1880,1899,2,9,0,0,0,0,Artnet,NA,web,http://www.artnet.com/artists/th%C3%A9odore-deck/charger-JKZH4Oq_9cQqMPX9bHXkXw2,NA,NA,NA,
iAN2,jug,,France_Paris,Theodore Deck,1823,1892,2,0,1,0,0,0,Artnet,NA,web,http://www.artnet.com/artists/th%C3%A9odore-deck/pichet-de-forme-balustre-de-style-ottoman-Z_ED6BzgIT57bgHEGYAqwA2,NA,NA,NA,
iAN3,jug,,France_Paris,Theodore Deck,1823,1893,0,6,0,0,0,0,Artnet,NA,web,http://www.artnet.com/artists/th%C3%A9odore-deck/pichet-de-forme-balustre-de-style-ottoman-kGpw8K7XPRPuQ1TzHBoD4w2,NA,NA,NA,
iAN4,bottle,,France_Paris,Theodore Deck,1823,1894,2,0,0,0,0,0,Artnet,NA,web,http://www.artnet.com/artists/th%C3%A9odore-deck/belle-et-grande-bouteille-piriforme-%C3%A0-long-col-PNOro8_whmmooImueuJMTg2,NA,NA,NA,
iAN5,plate,,France_Paris,Theodore Deck,1823,1895,0,6,0,0,0,0,Artnet,NA,web,http://www.artnet.com/artists/th%C3%A9odore-deck/assiette-hKOmD-ddAzjM4E2jdHzo5g2,NA,NA,NA,
iAN6,vase,,France_Paris,Theodore Deck,1823,1896,2,0,0,0,0,0,Artnet,NA,web,http://www.artnet.com/artists/th%C3%A9odore-deck/cache-pot-en-fa%C3%AFence-%C3%A0-d%C3%A9cor-dans-le-style-iznik-lZNsLUzqXQmTwo9LkWXrDg2,NA,NA,NA,
iAN7,bonbonniere,,France_Paris,Theodore Deck,1823,1897,0,12,0,0,0,0,Artnet,NA,web,http://www.artnet.com/artists/th%C3%A9odore-deck/bonbonni%C3%A8re-circulaire-couverte-%C3%A0-anses-lat%C3%A9rales-R4nNvmqkJ_tAuD0lXTPryw2,NA,NA,NA,some spiky carnations
iAN8,?,,France_Paris,Theodore Deck,1823,1898,0,3,0,0,0,0,Artnet,NA,web,http://www.artnet.com/artists/th%C3%A9odore-deck/rare-moine-8iR6iiN05iytI5sgBUYCew2,NA,NA,NA,
iAN9,plate,,France_Paris,Theodore Deck,1823,1899,4,0,0,0,0,0,Artnet,NA,web,http://www.artnet.com/artists/th%C3%A9odore-deck/important-plat-circulaire-BBWTwS2UqPPIbIXRtw2E7Q2,NA,NA,NA,finally some decent saz
iBM2,,,France_Paris,Theodore Deck,1870,1870,,,,0,0,0,BM_London,"no_1993,0715.10",web,https://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=69058&partId=1&searchText=iznik&page=5,NA,NA,NA,
iDEN3,,,France_Paris,Theodore Deck,1823,1891,,,,0,0,0,NA,NA,Denny, p.XX,NA,NA,NA,
iKEN3,,,France_Paris,Theodore Deck,1823,1897,,,,0,0,0,Auction,NA,web,https://www.kentantiques.com/art/ceramics.php#artworks-7,NA,NA,NA,
iKEN5,,,France_Paris,Samson,1850,1890,,,,0,0,0,Auction,NA,web,https://www.kentantiques.com/art/ceramics.php#artworks-sold-3,NA,NA,NA,
iMET1,plate,,France_Paris,Theodore Deck,1870,1870,6,0,4,0,0,0,Met_NY,no_1985.225,web,https://www.metmuseum.org/art/collection/search/207535?searchField=All&amp;sortBy=Relevance&amp;who=Deck%2c+Joseph-Th%C3%A9odore%24Joseph-Th%C3%A9odore+Deck&amp;ft=*&amp;offset=0&amp;rpp=20&amp;pos=7,NA,NA,NA,
iVA68,plate,,France_Paris,Edmond Lachenal,1889,1889,,,,0,0,0,VA_London,no_501-1889,web,http://collections.vam.ac.uk/item/O122993/dish-lachenal-edmond/,NA,NA,NA,
iRH1,,,Greece_Rhodos,ICARO,1930,1935,,,,0,0,0,Benaki_Athens,NA,Ioannides 2018, p.167,NA,NA,NA,
iRH10,,,Greece_Rhodos,ICARO,1950,1954,,,,0,0,0,Benaki_Athens,NA,Ioannides 2018, p.208,NA,NA,NA,
iRH11,,,Greece_Rhodos,ICARO,1950,1954,,,,0,0,0,Benaki_Athens,NA,Ioannides 2018, p.209,NA,NA,NA,
iRH12,,,Greece_Rhodos,ICARO,1965,1970,,,,0,0,0,Benaki_Athens,NA,Ioannides 2018, p.221,NA,NA,NA,
iRH13,,,Greece_Rhodos,ICARO,1970,1970,,,,0,0,0,Benaki_Athens,NA,Ioannides 2018, p.223,NA,NA,NA,
iRH2,,,Greece_Rhodos,ICARO,1930,1935,,,,0,0,0,Benaki_Athens,NA,Ioannides 2018, p.170,NA,NA,NA,
iRH3,,,Greece_Rhodos,ICARO,1930,1935,,,,0,0,0,Benaki_Athens,NA,Ioannides 2018, p.171,NA,NA,NA,
iRH4,,,Greece_Rhodos,ICARO,1930,1940,,,,0,0,0,Benaki_Athens,NA,Ioannides 2018, p.180,NA,NA,NA,
iRH5,,,Greece_Rhodos,ICARO,1930,1935,,,,0,0,0,Benaki_Athens,NA,Ioannides 2018, p.181,NA,NA,NA,
iRH6,,,Greece_Rhodos,ICARO,1935,1940,,,,0,0,0,Benaki_Athens,NA,Ioannides 2018, p.182,NA,NA,NA,
iRH7,,,Greece_Rhodos,ICARO,1935,1940,,,,0,0,0,Benaki_Athens,NA,Ioannides 2018, p.185,NA,NA,NA,
iRH8,,,Greece_Rhodos,ICARO,1950,1954,,,,0,0,0,Benaki_Athens,NA,Ioannides 2018, p.194,NA,NA,NA,
iRH9,,,Greece_Rhodos,ICARO,1948,1949,,,,0,0,0,Benaki_Athens,NA,Ioannides 2018, p.194,NA,NA,NA,
iASH3,plate,,Iran,NA,1401,1500,20,0,0,0,0,0,Ashmolean_Oxford,no_EA1978.1608,web,http://collections.ashmolean.org/collection/search/per_page/100/offset/0/sort_by/relevance/object/26589,NA,NA,NA,poor saz-ish leaves
iVA13,jug,,Israel_Jerusalem,Balian,1998,1998,4,0,0,0,0,0,VA_London,no_ME.7-2016,web,http://collections.vam.ac.uk/item/O1369403/water-jug-balian-setrag/,NA,NA,NA,
iBM1,,,Italy_Bassano,NA,1650,1700,,,,0,0,0,BM_London,"no_1878,1230.46",web,https://www.britishmuseum.org/research/collection_online/collection_object_details/collection_image_gallery.aspx?assetId=71632001&objectId=39206&partId=1,NA,NA,NA,
iBR1,,,Italy_Bassano,NA,1688,1688,,,,0,0,0,Palazzo del Buonconsiglio_Trento,no_Broilo 2013,,,NA,NA,NA,
iCAN1,,,Italy_Florence,Cantagalli,1878,1901,,,,0,0,0,Ariana_Geneva,NA,web,https://commons.wikimedia.org/wiki/File:Ariana_museum_-_islamic_pottery_imitation_-_Plat_-_Manufacture_Cantagalli_-_Florence_-_Italy_-_1878_1901_inventaire_AR_10202.JPG,NA,NA,NA,
iCAN2,,,Italy_Florence,Cantagalli,1892,1892,,,,0,0,0,Auction,NA,web,https://www.anticoantico.com/items/144615/Grande-vaso-Cantagalli-Iznik?cat=d#&gid=gallery1&pid=1,NA,NA,NA,
iCAN3,,,Italy_Florence,Cantagalli,1892,1892,,,,0,0,0,Auction,NA,web,http://www.anaviangallery.com/servlet/q.QDisplayItemDetail?in=5469,NA,NA,NA,
iCAN5,,,Italy_Florence,Cantagalli,1892,1892,,,,0,0,0,Auction,NA,web,https://www.christies.com/lotfinder/Lot/a-pottery-dish-in-the-iznik-damascus-5986209-details.aspx,NA,NA,NA,
iCAN6,,,Italy_Florence,Cantagalli,1892,1892,,,,0,0,0,Auction,NA,web,https://www.decorativecollective.com/dealers/inglis-hall-antiques/p/a-large-iznik--pottery-dish-by-ulisse-cantagalli-iha014,NA,NA,NA,
iDMF1,plate,,Italy_Florence,Cantagalli,1878,1901,4,0,26,0,0,0,De Morgan_London,no_C_1967_0001,web,http://www.demorgan.org.uk/iznik-inspired-floral-dish-cantagalli,NA,NA,NA,
iDMF2,jug,,Italy_Florence,Cantagalli,1878,1901,4,0,2,0,0,0,De Morgan_London,no_C_WDM_0145,web,http://www.demorgan.org.uk/two-handled-vase-persian-floral-decoration,NA,NA,NA,
iKEN1,,,Italy_Florence,Cantagalli,1878,1901,,,,0,0,0,Auction,NA,web,https://www.kentantiques.com/art/ceramics.php,NA,NA,NA,
iKEN2,,,Italy_Florence,Cantagalli,1878,1901,,,,0,0,0,Auction,NA,web,https://www.kentantiques.com/art/ceramics.php,NA,NA,NA,
iVA15,plate,,Italy_Florence,Cantagalli,1892,1892,10,4,3,0,0,0,VA_London,no_304-1892,web,http://collections.vam.ac.uk/item/O282011/bowl-cantagalli-ulisse/,NA,NA,NA,
iVA16,bowl,,Italy_Florence,Cantagalli,1892,1892,1,2,3,0,0,0,VA_London,no_308-1892,web,http://collections.vam.ac.uk/item/O281915/bowl-cantagalli-ulisse/,NA,NA,NA,
iVA17,bottle,,Italy_Florence,Cantagalli,1892,1892,1,1,3,0,0,0,VA_London,no_275-1892,web,http://collections.vam.ac.uk/item/O332154/bottle-cantagalli-ulisse/,NA,NA,NA,
iVA18,dish,,Italy_Florence,Cantagalli,1892,1892,1,1,4,0,0,0,VA_London,no_306-1892,web,http://collections.vam.ac.uk/item/O332155/dish-cantagalli-ulisse/,NA,NA,NA,
iVA69,plate,,Italy_Florence,NA,1450,1450,,,,0,0,0,VA_London,no_4901-1858,web,http://collections.vam.ac.uk/item/O138069/dish-unknown/,NA,NA,NA,
iASH1,plate,,Italy_Padua,NA,1649,1649,8,4,0,0,0,0,Ashmolean_Oxford,no_WA2017.13,web,http://collections.ashmolean.org/collection/search/per_page/100/offset/0/sort_by/relevance/object/75607,NA,NA,NA,
iPAD1,,,Italy_Padua,NA,1600,1700,,,,0,0,0,dealer,NA,web,https://www.anticstore.art/60294P#gallery-1,NA,NA,NA,
iVA19,,,Italy_Padua,NA,1600,1650,,,,0,0,0,VA_London,no_2598-1856,web,http://collections.vam.ac.uk/item/O113474/plate-unknown/,NA,NA,NA,
iASH2,plate,,Italy_Padua/Venice,NA,1640,1700,1,2,0,0,0,0,Ashmolean_Oxford,no_WA1993.441,web,http://collections.ashmolean.org/collection/search/per_page/100/offset/0/sort_by/relevance/object/77969,NA,NA,NA,
iARN1,,,Netherlands_Arnhem,Arnhemsche Fayencefabriek,1913,1913,,,,0,0,0,Arnhem_museum,no_GMZ 00142,web,https://www.museumarnhem.nl/collectie/4539/wandbord/,NA,NA,NA,
iARN10,,,Netherlands_Arnhem,Arnhemsche Fayencefabriek,1910,1925,,,,0,0,0,Auction,NA,web,auction website dead link,NA,NA,NA,
iARN2,,,Netherlands_Arnhem,Arnhemsche Fayencefabriek,1913,1913,,,,0,0,0,Arnhem_museum,no_GMZ 00143,web,https://www.museumarnhem.nl/collectie/4540/wandbord/,NA,NA,NA,
iARN3,,,Netherlands_Arnhem,Arnhemsche Fayencefabriek,1920,1925,,,,0,0,0,NGV_Australia,no_2000.23,web,http://www.ngv.vic.gov.au/explore/collection/work/67022/,NA,NA,NA,
iARN4,,,Netherlands_Arnhem,Arnhemsche Fayencefabriek,1914,1914,,,,0,0,0,Auction,NA,web,https://www.botterweg.com/Vet_Klaas/Arnhem/tabid/234/lotid/234/Lot-234.aspx?language=en-US,NA,NA,NA,
iARN5,,,Netherlands_Arnhem,Arnhemsche Fayencefabriek,1916,1916,,,,0,0,0,Auction,NA,web,https://www.botterweg.com/Vet_Klaas/Arnhem/tabid/59/lotid/27592/Kavel-27592.aspx?language=nl-NL,NA,NA,NA,
iARN6,,,Netherlands_Arnhem,Arnhemsche Fayencefabriek,1916,1916,,,,0,0,0,Auction,NA,web,auction website dead link,NA,NA,NA,
iARN7,,,Netherlands_Arnhem,Arnhemsche Fayencefabriek,1916,1916,,,,0,0,0,Auction,NA,web,auction website dead link,NA,NA,NA,
iARN8,,,Netherlands_Arnhem,Arnhemsche Fayencefabriek,1907,1918,,,,0,0,0,Dutch national collection,NA,web,"https://data.collectienederland.nl/search/?q=&qf=dc_type%3Avaas&qf%5B%5D=dc_creator%3AArnhemsche%20Fayencefabriek,%20N.V.",NA,NA,NA,
iARN9,,,Netherlands_Arnhem,Arnhemsche Fayencefabriek,1910,1925,,,,0,0,0,Auction,NA,web,auction website dead link,NA,NA,NA,
iBM3,,,Netherlands_Utrecht,Ravesteijn?,1865,1870,,,,0,0,0,BM_London,"no_1994,1003.10.a-d",web,https://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=68869&partId=1&searchText=iznik&page=5,NA,NA,NA,
iBM4,,,Syria_Damascus,NA,1425,1425,,,,0,0,0,BM_London,"no_1905,1128.20",web,https://www.britishmuseum.org/research/collection_online/collection_object_details/collection_image_gallery.aspx?assetId=941398001&objectId=238255&partId=1,NA,NA,NA,not in Millner
iBM5,,,Syria_Damascus,NA,1775,1800,,,,0,0,0,BM_London,no_OA+.10770,web,https://www.britishmuseum.org/research/collection_online/collection_object_details/collection_image_gallery.aspx?assetId=551023001&objectId=241529&partId=1,NA,NA,NA,close to BM43
iBM8,,,Syria_Damascus,NA,1600,1700,,,,0,0,0,BM_London,"no_1895,0,603.13",web,https://www.britishmuseum.org/research/collection_online/collection_object_details/collection_image_gallery.aspx?assetId=550939001&objectId=238476&partId=1,NA,NA,NA,not in Millner
iBM9,,,Syria_Damascus,NA,1700,1800,,,,0,0,0,BM_London,no_G.185,web,https://www.britishmuseum.org/research/collection_online/collection_object_details/collection_image_gallery.aspx?assetId=551016001&objectId=183080&partId=1,NA,NA,NA,not in Millner
iDEN2,,,Syria_Damascus,NA,1600,1625,,,,0,0,0,NA,NA,Denny ,p.XX,NA,NA,NA,not in Millner
iVA10,,,Syria_Damascus,NA,1400,1450,,,,0,0,0,VA_London,no_503-1900,web,http://collections.vam.ac.uk/item/O279245/tile-unknown/,NA,NA,NA,not in Millner
iVA11,,,Syria_Damascus,NA,1600,1700,,,,0,0,0,VA_London,no_106-1881,web,http://collections.vam.ac.uk/item/O180777/tile-unknown/,NA,NA,NA,same as iVA15
iVA12,,,Syria_Damascus,NA,1550,1600,,,,0,0,0,VA_London,no_520D-1900,web,https://collections.vam.ac.uk/item/O1461953/tile/,NA,NA,NA,
iVA13,,,Syria_Damascus,NA,1650,1700,,,,0,0,0,VA_London,no_301-1894,web,http://collections.vam.ac.uk/item/O279293/tile-unknown/,NA,NA,NA,
iVA14,,,Syria_Damascus,NA,1420,1450,,,,0,0,0,VA_London,no_108-1881,web,http://collections.vam.ac.uk/item/O180782/tile-unknown/,NA,NA,NA,
iVA15,,,Syria_Damascus,NA,1570,1620,,,,0,0,0,VA_London,no_502C-1900,web,https://collections.vam.ac.uk/item/O279246/tile/,NA,NA,NA,same as iVA11
iVA16,,,Syria_Damascus,NA,1570,1620,,,,0,0,0,VA_London,no_502B-1900,web,https://collections.vam.ac.uk/item/O279247/tile/,NA,NA,NA,
iVA17,,,Syria_Damascus,NA,1600,1700,,,,0,0,0,VA_London,no_107-1881,web,http://collections.vam.ac.uk/item/O180780/tile-unknown/,NA,NA,NA,
iVA18,,,Syria_Damascus,NA,1600,1700,,,,0,0,0,VA_London,no_477A-1900,web,http://collections.vam.ac.uk/item/O181347/tile-unknown/,NA,NA,NA,close to Millner 6.85
iVA19,,,Syria_Damascus,NA,1550,1650,,,,0,0,0,VA_London,no_453-1900,web,http://collections.vam.ac.uk/item/O202724/tile-unknown/,NA,NA,NA,
iVA20,,,Syria_Damascus,NA,1575,1650,,,,0,0,0,VA_London,no_664-1897,web,http://collections.vam.ac.uk/item/O279266/tile-unknown/,NA,NA,NA,
iVA21,,,Syria_Damascus,NA,1500,1600,,,,0,0,0,VA_London,no_341-1896,web,http://collections.vam.ac.uk/item/O180871/tile-unknown/,NA,NA,NA,
iVA22,,,Syria_Damascus,NA,1500,1700,,,,0,0,0,VA_London,no_906-1894,web,http://collections.vam.ac.uk/item/O279280/tile-unknown/,NA,NA,NA,
iVA23,,,Syria_Damascus,NA,1500,1700,,,,0,0,0,VA_London,no_913:51-1894,web,http://collections.vam.ac.uk/item/O225101/tile-unknown/,NA,NA,NA,
iVA24,,,Syria_Damascus,NA,1550,1600,,,,0,0,0,VA_London,no_452-1901,web,http://collections.vam.ac.uk/item/O181158/tile-unknown/,NA,NA,NA,
iVA25,,,Syria_Damascus,NA,1600,1700,,,,0,0,0,VA_London,no_913:77-1894,web,http://collections.vam.ac.uk/item/O180846/tile-unknown/,NA,NA,NA,
iVA26,,,Syria_Damascus,NA,1500,1700,,,,0,0,0,VA_London,no_913:30-1894,web,http://collections.vam.ac.uk/item/O1300335/tile-unknown/,NA,NA,NA,
iVA27,,,Syria_Damascus,NA,1500,1600,,,,0,0,0,VA_London,no_341B-1896,web,http://collections.vam.ac.uk/item/O198575/tile-unknown/,NA,NA,NA,
iVA32,,,Syria_Damascus,NA,1570,1620,,,,0,0,0,VA_London,no_502-1900,web,https://collections.vam.ac.uk/item/O279249/tile/,NA,NA,NA,
iVA33,,,Syria_Damascus,NA,1575,1650,,,,0,0,0,VA_London,no_672-1897,web,http://collections.vam.ac.uk/item/O279265/tile-unknown/,NA,NA,NA,
iVA34,,,Syria_Damascus,NA,1600,1700,,,,0,0,0,VA_London,no_913:55-1894,web,https://collections.vam.ac.uk/item/O276328/tile/,NA,NA,NA,
iVA35,,,Syria_Damascus,NA,1420,1450,,,,0,0,0,VA_London,no_423-1898,web,http://collections.vam.ac.uk/item/O199663/tile-unknown/,NA,NA,NA,
iVA37,,,Syria_Damascus,NA,1420,1450,,,,0,0,0,VA_London,no_420-1898,web,http://collections.vam.ac.uk/item/O179364/tile-unknown/,NA,NA,NA,
iVA38,,,Syria_Damascus,NA,1650,1700,,,,0,0,0,VA_London,no_33&A-1897,web,http://collections.vam.ac.uk/item/O279271/tile-unknown/,NA,NA,NA,
iVA41,,,Syria_Damascus,NA,1500,1700,,,,0,0,0,VA_London,no_CER.LOST.162,web,http://collections.vam.ac.uk/item/O280753/tile/,NA,NA,NA,
iVA42,,,Syria_Damascus,NA,1500,1700,,,,0,0,0,VA_London,no_913:75-1894,web,http://collections.vam.ac.uk/item/O225115/tile-unknown/,NA,NA,NA,
iVA43,,,Syria_Damascus,NA,1420,1450,,,,0,0,0,VA_London,no_426-1898,web,http://collections.vam.ac.uk/item/O180042/tile-unknown/,NA,NA,NA,
iVA44,,,Syria_Damascus,NA,1550,1600,,,,0,0,0,VA_London,no_894A-1894,web,http://collections.vam.ac.uk/item/O180841/tile-unknown/,NA,NA,NA,
iVA45,,,Syria_Damascus,NA,1500,1700,,,,0,0,0,VA_London,no_997A-1884,web,http://collections.vam.ac.uk/item/O280759/tile-unknown/,NA,NA,NA,
iVA46,,,Syria_Damascus,NA,1400,1500,,,,0,0,0,VA_London,no_1222-1883,web,http://collections.vam.ac.uk/item/O181145/tile-unknown/,NA,NA,NA,
iVA47,,,Syria_Damascus,NA,1400,1500,,,,0,0,0,VA_London,no_1222-1883,web,http://collections.vam.ac.uk/item/O181145/tile-unknown/,NA,NA,NA,
iVA51,,,Syria_Damascus,NA,1420,1450,,,,0,0,0,VA_London,no_428-1898,web,http://collections.vam.ac.uk/item/O180036/tile-unknown/,NA,NA,NA,
iVA52,,,Syria_Damascus,NA,1500,1700,,,,0,0,0,VA_London,no_913:59-1894,web,http://collections.vam.ac.uk/item/O282935/tile/,NA,NA,NA,
iVA53,,,Syria_Damascus,NA,1500,1700,,,,0,0,0,VA_London,no_218-1896,web,http://collections.vam.ac.uk/item/O282473/tile/,NA,NA,NA,
iVA54,,,Syria_Damascus,NA,1550,1625,,,,0,0,0,VA_London,no_36-1897,web,http://collections.vam.ac.uk/item/O198856/tile-unknown/,NA,NA,NA,
iVA55,,,Syria_Damascus,NA,1500,1700,,,,0,0,0,VA_London,no_997B-1884,web,http://collections.vam.ac.uk/item/O280751/tile-unknown/,NA,NA,NA,
iVA56,,,Syria_Damascus,NA,1600,1700,,,,0,0,0,VA_London,no_1227&A-1883,web,http://collections.vam.ac.uk/item/O180840/tile-panel-unknown/,NA,NA,NA,
iVA57,,,Syria_Damascus,NA,1500,1700,,,,0,0,0,VA_London,no_131:1 to 40-1897,web,http://collections.vam.ac.uk/item/O180910/tile-panel-unknown/,NA,NA,NA,
iVA58,,,Syria_Damascus,NA,1550,1600,,,,0,0,0,VA_London,"no_520&A, E, F-1900",web,http://collections.vam.ac.uk/item/O182070/tile-panel-unknown/,NA,NA,NA,
iVA59,,,Syria_Damascus,NA,1550,1600,,,,0,0,0,VA_London,no_946-1873,web,http://collections.vam.ac.uk/item/O181140/tile-unknown/,NA,NA,NA,
iVA60,,,Syria_Damascus,NA,1600,1700,,,,0,0,0,VA_London,no_114-1881,web,http://collections.vam.ac.uk/item/O180797/tile-panel-unknown/,NA,NA,NA,
iVA61,,,Syria_Damascus,NA,1550,1600,,,,0,0,0,VA_London,no_526A-1900,web,http://collections.vam.ac.uk/item/O181159/tile-panel-unknown/,NA,NA,NA,
iVA62,,,Syria_Damascus,NA,1575,1650,,,,0,0,0,VA_London,no_129:1 to 12-1897,web,http://collections.vam.ac.uk/item/O180906/tile-panel-unknown/#,NA,NA,NA,
iVA63,,,Syria_Damascus,NA,1650,1700,,,,0,0,0,VA_London,no_667-1897,web,http://collections.vam.ac.uk/item/O199368/tile-panel-unknown/,NA,NA,NA,
